Organisation,Date,Meeting,RawName,CleanName,VideoLink,CouncillorOrg
Hastings District Council,13/09/2019,Hearings Committee,,,,
Hastings District Council,10/09/2019,Council,,,,
Hastings District Council,09/09/2019,Hastings District Rural Community Board,,,,
Hastings District Council,09/09/2019,Rural Halls Subcommittee,,,,
Hastings District Council,04/09/2019,Hastings District Youth Council,,,,
Hastings District Council,02/09/2019,Risk and Audit Subcommittee,,,,
Hastings District Council,29/08/2019,Temporary Road Closures Subcommittee,Councillor Nixon (Chair),Nixon,,HDC
Hastings District Council,29/08/2019,Temporary Road Closures Subcommittee,Councillor Watkins (Deputy Chair),Watkins,,HDC
Hastings District Council,22/08/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Barber,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Harvey,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Heaps,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Kerr,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Lawson,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Lyons,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Nixon,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",O’Keefe,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Poulain,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Redstone,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Schollum,,HDC
Hastings District Council,22/08/2019,Council,"Councillors Barber, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and  Travers ",Travers,,HDC
Hastings District Council,15/08/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Heaps,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Kerr,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lawson,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lyons,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",O’Keefe,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Redstone,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Travers,,HDC
Hastings District Council,15/08/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,Chair: Mr Robin Hape,,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,                                               Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Councillors O’Keefe, Travers, Barber, (Deputy Chair) Lawson and Poulain",O’Keefe,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Councillors O’Keefe, Travers, Barber, (Deputy Chair) Lawson and Poulain",Travers,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Councillors O’Keefe, Travers, Barber, (Deputy Chair) Lawson and Poulain",Barber,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Councillors O’Keefe, Travers, Barber, (Deputy Chair) Lawson and Poulain",Lawson,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Councillors O’Keefe, Travers, Barber, (Deputy Chair) Lawson and Poulain",Poulain,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Messrs Te Rangihau Gilbert, Ms Tracee Te Huia, Mrs Evelyn Ratima and Mr Ngaio Tiuka ",,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Messrs Te Rangihau Gilbert, Ms Tracee Te Huia, Mrs Evelyn Ratima and Mr Ngaio Tiuka ",,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Messrs Te Rangihau Gilbert, Ms Tracee Te Huia, Mrs Evelyn Ratima and Mr Ngaio Tiuka ",,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,"                                               Messrs Te Rangihau Gilbert, Ms Tracee Te Huia, Mrs Evelyn Ratima and Mr Ngaio Tiuka ",,,
Hastings District Council,07/08/2019,Hastings District Youth Council,Councillor Dixon – Council Liaison,Dixon,,HDC
Hastings District Council,02/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,Chair: Councillor Heaps,Heaps,,HDC
Hastings District Council,02/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Councillors Lyons, Travers and Watkins",Lyons,,HDC
Hastings District Council,02/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Councillors Lyons, Travers and Watkins",Travers,,HDC
Hastings District Council,02/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Councillors Lyons, Travers and Watkins",Watkins,,HDC
Hastings District Council,02/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Mr Peter Paku, Mrs Evelyn Ratima and Ms Tania Kupa-Huata",,,
Hastings District Council,02/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Mr Peter Paku, Mrs Evelyn Ratima and Ms Tania Kupa-Huata",,,
Hastings District Council,02/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Mr Peter Paku, Mrs Evelyn Ratima and Ms Tania Kupa-Huata",,,
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,Councillor Lyons (Chair),Lyons,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Barber,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Dixon,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Heaps,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Kerr,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Lawson,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",O’Keefe,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Poulain,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Redstone,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Travers,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",Watkins,,HDC
Hastings District Council,01/08/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Heaps, Kerr, Lawson, O’Keefe, Poulain, Redstone, Travers and Watkins and Tracee Te Huia ",,,
Hastings District Council,29/07/2019,Hearings Committee,,,,
Hastings District Council,22/07/2019,International Advisory Group,Chair:Councillor TraversMayor HazlehurstCouncillors Dixon and Watkins,Travers,,HDC
Hastings District Council,22/07/2019,International Advisory Group,Chair:Councillor TraversMayor HazlehurstCouncillors Dixon and Watkins,Hazlehurst,,HDC
Hastings District Council,22/07/2019,International Advisory Group,Chair:Councillor TraversMayor HazlehurstCouncillors Dixon and Watkins,Dixon,,HDC
Hastings District Council,22/07/2019,International Advisory Group,Chair:Councillor TraversMayor HazlehurstCouncillors Dixon and Watkins,Watkins,,HDC
Hastings District Council,11/07/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Barber,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Dixon,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Harvey,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Heaps,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Kerr,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Lawson,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Nixon,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Redstone,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Schollum,,HDC
Hastings District Council,11/07/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, Redstone, Schollum, and Watkins.",Watkins,,HDC
Hastings District Council,03/07/2019,Hastings District Youth Council,Councillor Dixon –Council Liaison,Dixon,,HDC
Hastings District Council,02/07/2019,Risk and Audit Subcommittee,Mr J Nichols (Chair),,,
Hastings District Council,02/07/2019,Risk and Audit Subcommittee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,02/07/2019,Risk and Audit Subcommittee,Deputy Mayor Kerr (Deputy Chair),Kerr,,HDC
Hastings District Council,02/07/2019,Risk and Audit Subcommittee,Councillors Nixon and Travers ,Nixon,,HDC
Hastings District Council,,,,Travers,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,Chair: Councillor Heaps,Heaps,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Councillors Barber, Travers and Watkins",Barber,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Councillors Barber, Travers and Watkins",Travers,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,"Councillors Barber, Travers and Watkins",Watkins,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,Mrs Evelyn Ratima and Tania Kupa Huata,,,
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,Mrs Evelyn Ratima and Tania Kupa Huata,,,
Hastings District Council,27/06/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,27/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
