Organisation,Date,Meeting,,CleanName,VideoLink,CouncillorOrg
Hastings District Council,13/09/2019,Hearings Committee,,,,
Hastings District Council,10/09/2019,Council,,,,
Hastings District Council,9/09/2019,Hastings District Rural Community Board,,,,
Hastings District Council,9/09/2019,Rural Halls Subcommittee,,,,
Hastings District Council,4/09/2019,Hastings District Youth Council,,,,
Hastings District Council,2/09/2019,Risk and Audit Subcommittee,,,,
Hastings District Council,29/08/2019,Temporary Road Closures Subcommittee,,Nixon,,HDC
Hastings District Council,29/08/2019,Temporary Road Closures Subcommittee,,Watkins,,HDC
Hastings District Council,22/08/2019,Council,,Hazlehurst,,HDC
Hastings District Council,22/08/2019,Council,,Barber,,HDC
Hastings District Council,22/08/2019,Council,,Harvey,,HDC
Hastings District Council,22/08/2019,Council,,Heaps,,HDC
Hastings District Council,22/08/2019,Council,,Kerr,,HDC
Hastings District Council,22/08/2019,Council,,Lawson,,HDC
Hastings District Council,22/08/2019,Council,,Lyons,,HDC
Hastings District Council,22/08/2019,Council,,Nixon,,HDC
Hastings District Council,22/08/2019,Council,,O’Keefe,,HDC
Hastings District Council,22/08/2019,Council,,Poulain,,HDC
Hastings District Council,22/08/2019,Council,,Redstone,,HDC
Hastings District Council,22/08/2019,Council,,Schollum,,HDC
Hastings District Council,22/08/2019,Council,,Travers,,HDC
Hastings District Council,15/08/2019,Council,,Hazlehurst,,HDC
Hastings District Council,15/08/2019,Council,,Barber,,HDC
Hastings District Council,15/08/2019,Council,,Dixon,,HDC
Hastings District Council,15/08/2019,Council,,Harvey,,HDC
Hastings District Council,15/08/2019,Council,,Heaps,,HDC
Hastings District Council,15/08/2019,Council,,Kerr,,HDC
Hastings District Council,15/08/2019,Council,,Lawson,,HDC
Hastings District Council,15/08/2019,Council,,Lyons,,HDC
Hastings District Council,15/08/2019,Council,,Nixon,,HDC
Hastings District Council,15/08/2019,Council,,O’Keefe,,HDC
Hastings District Council,15/08/2019,Council,,Poulain,,HDC
Hastings District Council,15/08/2019,Council,,Redstone,,HDC
Hastings District Council,15/08/2019,Council,,Schollum,,HDC
Hastings District Council,15/08/2019,Council,,Travers,,HDC
Hastings District Council,15/08/2019,Council,,Watkins,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,Hazlehurst,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,O’Keefe,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,Travers,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,Barber,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,Lawson,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,Poulain,,HDC
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,14/08/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,7/08/2019,Hastings District Youth Council,,Dixon,,HDC
Hastings District Council,2/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Heaps,,HDC
Hastings District Council,2/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Lyons,,HDC
Hastings District Council,2/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Travers,,HDC
Hastings District Council,2/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Watkins,,HDC
Hastings District Council,2/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,,,,
Hastings District Council,2/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,,,,
Hastings District Council,2/08/2019,HDC–Tangata Whenua Wastewater Joint Committee,,,,
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Lyons,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Hazlehurst,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Barber,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Dixon,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Heaps,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Kerr,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Lawson,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,O’Keefe,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Poulain,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Redstone,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Travers,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,Watkins,,HDC
Hastings District Council,1/08/2019,Strategy Planning and Partnerships Committee,,,,
Hastings District Council,29/07/2019,Hearings Committee,,,,
Hastings District Council,22/07/2019,International Advisory Group,,Travers,,HDC
Hastings District Council,22/07/2019,International Advisory Group,,Hazlehurst,,HDC
Hastings District Council,22/07/2019,International Advisory Group,,Dixon,,HDC
Hastings District Council,22/07/2019,International Advisory Group,,Watkins,,HDC
Hastings District Council,11/07/2019,Council,,Hazlehurst,,HDC
Hastings District Council,11/07/2019,Council,,Barber,,HDC
Hastings District Council,11/07/2019,Council,,Dixon,,HDC
Hastings District Council,11/07/2019,Council,,Harvey,,HDC
Hastings District Council,11/07/2019,Council,,Heaps,,HDC
Hastings District Council,11/07/2019,Council,,Kerr,,HDC
Hastings District Council,11/07/2019,Council,,Lawson,,HDC
Hastings District Council,11/07/2019,Council,,Nixon,,HDC
Hastings District Council,11/07/2019,Council,,Redstone,,HDC
Hastings District Council,11/07/2019,Council,,Schollum,,HDC
Hastings District Council,11/07/2019,Council,,Watkins,,HDC
Hastings District Council,3/07/2019,Hastings District Youth Council,,Dixon,,HDC
Hastings District Council,2/07/2019,Risk and Audit Subcommittee,,,,
Hastings District Council,2/07/2019,Risk and Audit Subcommittee,,Hazlehurst,,HDC
Hastings District Council,2/07/2019,Risk and Audit Subcommittee,,Kerr,,HDC
Hastings District Council,2/07/2019,Risk and Audit Subcommittee,,Nixon,,HDC
Hastings District Council,,,,Travers,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Heaps,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Barber,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Travers,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,,Watkins,,HDC
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,,,,
Hastings District Council,28/06/2019,HDC–Tangata Whenua Wastewater Joint Committee,,,,
Hastings District Council,27/06/2019,Council,,Hazlehurst,,HDC
Hastings District Council,27/06/2019,Council,,Barber,,HDC
Hastings District Council,27/06/2019,Council,,Dixon,,HDC
Hastings District Council,27/06/2019,Council,,Harvey,,HDC
Hastings District Council,27/06/2019,Council,,Heaps,,HDC
Hastings District Council,27/06/2019,Council,,Kerr,,HDC
Hastings District Council,27/06/2019,Council,,Lawson,,HDC
Hastings District Council,27/06/2019,Council,,Nixon,,HDC
Hastings District Council,27/06/2019,Council,,O’Keefe,,HDC
Hastings District Council,27/06/2019,Council,,Poulain,,HDC
Hastings District Council,27/06/2019,Council,,Redstone,,HDC
Hastings District Council,27/06/2019,Council,,Schollum,,HDC
Hastings District Council,27/06/2019,Council,,Travers,,HDC
Hastings District Council,27/06/2019,Council,,Watkins,,HDC
Hastings District Council,21/06/2019,Omarunui Refuse Landfill Joint Committee,,Heaps,,HDC
Hastings District Council,21/06/2019,Omarunui Refuse Landfill Joint Committee,,Lawson,,HDC
Hastings District Council,21/06/2019,Omarunui Refuse Landfill Joint Committee,,Redstone,,HDC
Hastings District Council,21/06/2019,Omarunui Refuse Landfill Joint Committee,,Dallimore,,NCC
Hastings District Council,21/06/2019,Omarunui Refuse Landfill Joint Committee,,Tapine,,NCC
Hastings District Council,20/06/2019,Temporary Road Closures Subcommittee,,Nixon,,HDC
Hastings District Council,18/06/2019,Appointments Committee,,Kerr,,HDC
Hastings District Council,18/06/2019,Appointments Committee,,Barber,,HDC
Hastings District Council,18/06/2019,Appointments Committee,,Poulain,,HDC
Hastings District Council,12/06/2019,Hastings District Youth Council,,Dixon,,HDC
Hastings District Council,11/06/2019,Commissioner Hearing,,,,
Hastings District Council,,,,,,
Hastings District Council,11/06/2019,Commissioner Hearing,,,,
Hastings District Council,11/06/2019,Commissioner Hearing,,,,
Hastings District Council,11/06/2019,Commissioner Hearing,,,,
Hastings District Council,4/06/2019,Council,,Hazlehurst,,HDC
Hastings District Council,4/06/2019,Council,,Barber,,HDC
Hastings District Council,4/06/2019,Council,,Dixon,,HDC
Hastings District Council,4/06/2019,Council,,Harvey,,HDC
Hastings District Council,4/06/2019,Council,,Heaps,,HDC
Hastings District Council,4/06/2019,Council,,Kerr,,HDC
Hastings District Council,4/06/2019,Council,,Lawson,,HDC
Hastings District Council,4/06/2019,Council,,Lyons,,HDC
Hastings District Council,4/06/2019,Council,,Nixon,,HDC
Hastings District Council,4/06/2019,Council,,O’Keefe,,HDC
Hastings District Council,4/06/2019,Council,,Poulain,,HDC
Hastings District Council,4/06/2019,Council,,Redstone,,HDC
Hastings District Council,4/06/2019,Council,,Schollum,,HDC
Hastings District Council,4/06/2019,Council,,Travers,,HDC
Hastings District Council,4/06/2019,Council,,Watkins,,HDC
Hastings District Council,4/06/2019,Council,,,,
Hastings District Council,31/05/2019,Hearings Committee,,,,
Hastings District Council,30/05/2019,Council,,Hazlehurst,,HDC
Hastings District Council,30/05/2019,Council,,Barber,,HDC
Hastings District Council,30/05/2019,Council,,Dixon,,HDC
Hastings District Council,30/05/2019,Council,,Harvey,,HDC
Hastings District Council,30/05/2019,Council,,Heaps,,HDC
Hastings District Council,30/05/2019,Council,,Kerr,,HDC
Hastings District Council,30/05/2019,Council,,Lawson,,HDC
Hastings District Council,30/05/2019,Council,,Lyons,,HDC
Hastings District Council,30/05/2019,Council,,Nixon,,HDC
Hastings District Council,30/05/2019,Council,,O’Keefe,,HDC
Hastings District Council,30/05/2019,Council,,Poulain,,HDC
Hastings District Council,30/05/2019,Council,,Redstone,,HDC
Hastings District Council,30/05/2019,Council,,Schollum,,HDC
Hastings District Council,30/05/2019,Council,,Travers,,HDC
Hastings District Council,30/05/2019,Council,,Watkins,,HDC
Hastings District Council,27/05/2019,Hastings District Rural Community Board,,,,
Hastings District Council,27/05/2019,Hastings District Rural Community Board,,,,
Hastings District Council,27/05/2019,Hastings District Rural Community Board,,Kerr,,HDC
Hastings District Council,27/05/2019,Hastings District Rural Community Board,,Lyons,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,Travers,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,Barber,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,Lawson,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,Poulain,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,20/05/2019,Community Grants Subcommittee,,Dixon,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,,Barber,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,,Harvey,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,,Lawson,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,,Schollum,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,,Watkins,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Lyons,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Hazlehurst,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Barber,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Dixon,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Harvey,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Heaps,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Nixon,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,O’Keefe,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Poulain,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Redstone,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Schollum,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Travers,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,Watkins,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,,,,
Hastings District Council,14/05/2019,International Advisory Group,,Travers,,HDC
Hastings District Council,14/05/2019,International Advisory Group,,Hazlehurst,,HDC
Hastings District Council,14/05/2019,International Advisory Group,,Dixon,,HDC
Hastings District Council,14/05/2019,International Advisory Group,,Watkins,,HDC
Hastings District Council,9/05/2019,Hearings Committee,,,,
Hastings District Council,9/05/2019,Temporary Road Closures Subcommittee,,Nixon,,HDC
Hastings District Council,9/05/2019,Temporary Road Closures Subcommittee,,Watkins,,HDC
Hastings District Council,8/05/2019,Hastings District Youth Council,,Dixon,,HDC
Hastings District Council,6/05/2019,Risk and Audit Subcommittee,,,,
Hastings District Council,6/05/2019,Risk and Audit Subcommittee,,Hazlehurst,,HDC
Hastings District Council,6/05/2019,Risk and Audit Subcommittee,,Kerr,,HDC
Hastings District Council,6/05/2019,Risk and Audit Subcommittee,,Nixon,,HDC
Hastings District Council,6/05/2019,Risk and Audit Subcommittee,,Travers,,HDC
Hastings District Council,6/05/2019,Risk and Audit Subcommittee,,,,
Hastings District Council,2/05/2019,Council,,Hazlehurst,,HDC
Hastings District Council,2/05/2019,Council,,Barber,,HDC
Hastings District Council,2/05/2019,Council,,Dixon,,HDC
Hastings District Council,2/05/2019,Council,,Harvey,,HDC
Hastings District Council,2/05/2019,Council,,Heaps,,HDC
Hastings District Council,2/05/2019,Council,,Kerr,,HDC
Hastings District Council,2/05/2019,Council,,Lawson,,HDC
Hastings District Council,2/05/2019,Council,,Lyons,,HDC
Hastings District Council,2/05/2019,Council,,Nixon,,HDC
Hastings District Council,2/05/2019,Council,,O’Keefe,,HDC
Hastings District Council,2/05/2019,Council,,Redstone,,HDC
Hastings District Council,2/05/2019,Council,,Schollum,,HDC
Hastings District Council,2/05/2019,Council,,Watkins,,HDC
Hastings District Council,24/04/2019,Temporary Road Closures Subcommittee,,Nixon,,HDC
Hastings District Council,24/04/2019,Temporary Road Closures Subcommittee,,Watkins,,HDC
Hastings District Council,24/04/2019,Tenders Subcommittee,,Watkins,,HDC
Hastings District Council,24/04/2019,Tenders Subcommittee,,Nixon,,HDC
Hastings District Council,24/04/2019,Tenders Subcommittee,,Redstone,,HDC
Hastings District Council,11/04/2019,Temporary Road Closures Subcommittee,,Nixon,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,,Travers,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,,Lawson,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,,Nixon,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,,Redstone,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,,Watkins,,HDC
