Organisation,Date,Meeting,RawName,CleanName,VideoLink,CouncillorOrg
Napier City Council,13/09/2019,Audit and Risk Committee,,,, 
Napier City Council,3/09/2019,Council,,,, 
Napier City Council,13/08/2019,Māori Consultative Committee,Piri Prentice (In the Chair),,, 
Napier City Council,13/08/2019,Māori Consultative Committee, Acting Deputy Mayor Claire Hague,Hague,,NCC
Napier City Council,13/08/2019,Māori Consultative Committee, Councillor Apiata Tapine,Tapine,,NCC
Napier City Council,13/08/2019,Māori Consultative Committee, Tiwana Aranui,,, 
Napier City Council,13/08/2019,Māori Consultative Committee, and Peter Eden [from 3.12pm],,, 
Napier City Council,6/08/2019,Community Services Committee,Councillor Wright (In the Chair),Wright,,NCC
Napier City Council,6/08/2019,Community Services Committee, Councillors Boag,Boag,,NCC
Napier City Council,6/08/2019,Community Services Committee, Brosnan,Brosnan,,NCC
Napier City Council,6/08/2019,Community Services Committee, Hague,Hague,,NCC
Napier City Council,6/08/2019,Community Services Committee, Jeffery,Jeffery,,NCC
Napier City Council,6/08/2019,Community Services Committee, McGrath,McGrath,,NCC
Napier City Council,6/08/2019,Community Services Committee, Price,Price,,NCC
Napier City Council,6/08/2019,Community Services Committee, Tapine,Tapine,,NCC
Napier City Council,6/08/2019,Community Services Committee, Taylor ,Taylor,,NCC
Napier City Council,6/08/2019,Community Services Committee,and Wise.,Wise,,NCC
Napier City Council,6/08/2019,Finance Committee,Councillor Wise (In the Chair),Wise,,NCC
Napier City Council,6/08/2019,Finance Committee, Councillors Boag,Boag,,NCC
Napier City Council,6/08/2019,Finance Committee, Brosnan,Brosnan,,NCC
Napier City Council,6/08/2019,Finance Committee, Hague,Hague,,NCC
Napier City Council,6/08/2019,Finance Committee, Jeffery,Jeffery,,NCC
Napier City Council,6/08/2019,Finance Committee, McGrath,McGrath,,NCC
Napier City Council,6/08/2019,Finance Committee, Price,Price,,NCC
Napier City Council,6/08/2019,Finance Committee, Tapine,Tapine,,NCC
Napier City Council,6/08/2019,Finance Committee, Taylor,Taylor,,NCC
Napier City Council,6/08/2019,Finance Committee,and Wright,Wright,,NCC
Napier City Council,23/07/2019,Regulatory Committee,Councillor Jeffery (In the Chair),Jeffery,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Acting Mayor White,White,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Councillors Boag,Boag,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Dallimore,Dallimore,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Hague,Hague,,NCC
Napier City Council,23/07/2019,Regulatory Committee, McGrath,McGrath,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Price,Price,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Tapine,Tapine,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Taylor,Taylor,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Wise and Wright,Wise,,NCC
Napier City Council,23/07/2019,Regulatory Committee, Wise and Wright,Wright,,NCC
Napier City Council,23/07/2019,Strategy and Infrastructure Committee,,,,
Napier City Council,18/07/2019,Hearings Committee (For the consideration of Tenders),Councillor Jeffery (In the Chair) ,Jeffery,,NCC
Napier City Council,18/07/2019,Hearings Committee (For the consideration of Tenders),Wise,Wise,,NCC
Napier City Council,18/07/2019,Hearings Committee (For the consideration of Tenders),Wright,Wright,,NCC
Napier City Council,11/07/2019,Council,Acting Mayor White (In the Chair),White,,NCC
Napier City Council,11/07/2019,Council, Councillors Boag,Boag,,NCC
Napier City Council,11/07/2019,Council, Brosnan,Brosnan,,NCC
Napier City Council,11/07/2019,Council, Dallimore,Dallimore,,NCC
Napier City Council,11/07/2019,Council, Hague,Hague,,NCC
Napier City Council,11/07/2019,Council, Jeffery,Jeffery,,NCC
Napier City Council,11/07/2019,Council, McGrath,McGrath,,NCC
Napier City Council,11/07/2019,Council, Price,Price,,NCC
